Class,AUC_Score
airplane,0.9772630000000001
automobile,0.9927357777777778
bird,0.9352878888888889
cat,0.9230462222222223
deer,0.9641483333333334
dog,0.9480961111111111
frog,0.9816058888888889
horse,0.9788954444444444
ship,0.9883748888888888
truck,0.9852580555555556
Macro_AUC,0.9674711611111111
